"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322802913.514263","336953370.402878","364178334.650563","393900513.861077","408927490.924108","408583955.63961","430500438.419011","474260812.686381","510512315.60934","569189724.053972","606906345.335273","638546003.011151","672084214.896726","692325010.739955","707396047.776794","715590002.022209","753373665.688467","803670361.916001","768634400.789226","819401304.725953","864231831.157893","905121350.289818","938682296.128043","1001496488.44506","951881597.129526","961629823.795962","1019884478.47837","1078389748.62898","1147540472.69904","1293605258.51305","1413385611.46315","1412959714.1241","1241885105.44827","1152469074.07407","1128507777.84862","1168080135.6583","1166866043.20336","1226398852.85","1276193331.63173","1344373697.9233","",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","198403347596.226","203313761339.706","206011053629.746","218810461305.137","234073562987.134","248067635932.132","253933458571.874","269925645553.726","283669145945.559","303669685479.496","325434740766.851","338462896934.326","351702827324.153","360844684021.89","375627656360.08","380634257632.033","390496308345.481","404584143923.277","408218254242.732","424775441917.043","437741359095.505","452433801995.132","467451989213.874","457023321210.849","478187002370.607","503288714107.853","523924576308.847","537433670118.687","568480417754.417","590542118612.777","611392988230.359","609098228622.5","611756722581.728","636606245168.691","662399052173.537","688161952131.715","715336141373.205","743574859816.367","776590622740.841","815473016603.615","847014442957.207","863362281304.841","896627000185.363","924138249925.787","962449985006.192","993282533523.894","1022863027574.33","1061217602478.34","1100462922393.92","1120402839535.96","1142876772659.21","1169995189300.16","1212515734975.18","1243675644409.11","1276128831536.8","1307031702029.1","1343181238465.26","",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836703339.5228","96922600975.7381","99489765786.6089","103606918511.136","109952172697.415","113778700633.421","120199075025.325","123814720654.546","129352102232.948","137470068345.607","146346907967.259","153832506387.731","163382214495.834","171372316256.135","178128049655.262","177480134324.246","185605965354.347","195034712849.762","194623865390.704","205049281624.87","208599680038.812","208298682198.351","212488098592.254","218805556761.373","218917749816.603","224387800558.769","229551845149.391","232667249462.473","240335683222.266","249677710980.231","260527809346.441","269494205826.754","275136133620.289","276585576858.226","283229490954.704","290786007404.439","297759969797.172","304325635704.791","315159527618.7","326473715969.322","337470681882.568","342028277679.919","347691769884.893","350320864079.575","359799646609.196","367501815049.2","379816181068.728","393571263693.451","399660849469.612","384477433873.246","391892746544.69","402897094667.412","405901724251.414","406405949726.992","409026637534.765","412965802868.116","419080714421.173","",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316698.5035","57195531761.5917","",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","596608253.670717","514597677.373498","561236477.601625","584445892.538846","621108404.900661","645749176.597434","675537540.239404","768907087.027305","766616638.352636","755427553.105214","916527545.705429","941702987.478465","881396658.482324","942116521.310875","935268845.712752","941796276.24958","1016599961.55636","1133198416.79516","1122539824.57715","1141229606.95515","1152539828.31177","1292726423.68618","1279106260.4105","1326629240.55262","1328692732.80246","1485254991.58896","1533528459.0815","1617920004.19458","1699317953.86504","1722250287.54589","1782525984.41627","1871595892.56201","1890498980.49241","1772531844.12476","1704643874.55341","1569636079.67758","1444065193.28183","1421104556.74908","1488607023.0819","1473572092.20535","1460945582.56049","1490979805.70997","1557276512.30296","1538219684.21923","1612571959.3767","1627085107.05727","1714698065.64965","1796760633.53677","1887463244.56885","1952928499.631","2026864469.36388","2111823040.97987","2196704928.33329","2297622743.75537","2404713060.02967","2310420828.24428","2297241391.84594","",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","120764863189.279","126777048990.526","133384673232.843","139189019707.401","148871960992.012","154172785119.867","159038316308.665","165190152085.361","172118441191.469","183529549253.244","193792159413.007","201516380314.862","212187890638.539","225729089706.297","236034205156.039","231393910573.886","244474020273.279","246004806085.374","252996008246.37","258918829646.89","270425322309.484","269670068733.525","271274570421.547","272120520451.829","278832053833.577","283437781732.075","288604178235.647","295261293665.336","309207101358.308","319934011562.337","329971629163.815","336020254199.932","341163564395.922","337882003882.909","348785359740.469","357103043851.13","362793146259.837","376254386247.224","383686442689.972","397358386026.319","411797007026.657","415138919310.621","422530493925.208","425803276682.695","441279866082.047","450521469885.385","461812169170.948","477739949852.491","481481480330.318","470632861743.554","483548031197.108","492243688300.301","493399461340.966","494389469549.126","501070818105.534","508108332078.704","515557225002.467","",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1265426252.94345","1305176840.54665","1260456133.07626","1320076060.7892","1407871139.77503","1482401906.79932","1535410564.13499","1551968411.17281","1611600246.49176","1657974010.96677","1692754286.41874","1667416432.2107","1774570740.64173","1840339265.9851","1901793938.89223","1808694555.93412","1824689860.78429","1915626267.4681","1939668871.92687","2066440729.96277","2206581860.81568","2426230120.12225","2480457972.97837","2372612057.3104","2560756386.93725","2753589661.14604","2813373991.71362","2771173298.85902","2865538547.23059","2783751478.01027","3033624750.94295","3161819648.03392","3255337130.07533","3445324207.02456","3514933552.72688","3727418268.32545","3888602421.28731","4111601652.35799","4274462692.87475","4502780953.5408","4766643561.74839","5020725247.66353","5253911326.863","5434858389.27325","5675602453.88052","5772744795.73959","6000595826.41589","6359822426.97484","6671033590.82541","6825749997.99683","6970240895.49888","7176751732.08258","7521973830.26825","8063036667.99131","8575645913.59089","8755259213.87036","9103831277.94119","",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1153497471.75521","1200144078.72412","1273698494.39634","1257547788.94945","1286255331.61624","1334676997.28504","1341852395.43964","1460248258.79039","1505089181.74741","1535583508.30374","1537380442.1502","1559108853.07615","1595147634.58968","1602315070.06168","1735089730.35784","1787114363.9664","1939642697.91623","1946826233.6606","2036532579.66401","2111163790.67383","2127987208.88243","2218539520.81643","2430680631.95068","2439090416.0079","2395706395.59655","2599757453.52648","2806577589.00363","2799944613.51917","2962218006.55865","3025913610.99051","3007669516.04934","3280464673.78828","3288098668.1456","3401912420.09734","3446647815.81348","3643671090.83705","4045012128.92928","4300528860.1238","4614799451.96413","4956487462.32454","5046707523.52324","5380466456.43255","5614678393.87183","6052760301.03174","6323831618.4998","6871593161.43807","7301284780.41565","7714172808.44856","8276883001.25427","8522045465.25424","8979966766.07232","9575057057.97374","10192906645.5417","10783339866.97","11249917444.6573","11688050575.8539","12379492024.1838","",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862545310.7226","18944687033.1706","19977746684.2347","19886669277.8428","22064814112.6956","22419232005.0757","22994691542.7769","22563342420.6917","24704480424.0584","25006087027.2168","26411392182.3557","24964184430.4711","21475757025.4792","22189972024.4145","24318424444.0714","23324235189.0411","24644704390.5094","25303471152.2294","27093397642.2551","28394323597.912","28626913390.8931","30697768187.1802","31352959198.5596","32569782092.7714","34134209697.98","35274979988.1662","36747139850.6845","38133389635.1624","39054790276.5184","40162611478.0515","42420657179.7908","43899113723.2774","46288404442.7889","48469311189.3945","50354828679.5772","52933639390.898","55327785139.4964","57811945426.5395","60804885377.3372","63644568604.0114","67013463192.5145","70415929567.4442","73115059421.307","76580396941.519","80592852042.2251","85860356477.7026","91588846353.8372","98053769823.2911","103950517391.466","109194950718.059","115279077465.226","122731159566.449","130734992458.51","138596866823.802","146997351891.58","156629549345.307","167771375851.352","",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","28567898146.9848","29967771396.1387","30667388675.8994","31719373922.908","32796704575.6997","33676784707.6526","35093769776.0095","37218526923.6436","41291980086.2505","39933522637.8896","36292632791.0639","33227591026.6062","30811151715.1596","30355080478.4888","30906939253.716","31790936266.938","32299591235.2962","31944295760.0686","33062346058.1987","31207548452.1041","32771342925.1612","34163477849.7148","36219477716.4549","38058529754.9607","40553481999.7745","43488010218.2093","46424813785.3817","49988081046.8084","51806555515.2364","49948696991.1085","50610031135.7791","51579222347.1984","51595182819.3635","52039981143.4083","52731514288.3384","54639046566.9725","56792409375.1089","",
